id,first_name,last_name,web_name,position,team,expected_goals,expected_assists,news
1.0,Fábio,Ferreira Vieira,Fábio Vieira,3.0,1.0,0.0,0.0,Has joined Portuguese side FC Porto on loan for the 2024/25 season
2.0,Gabriel,Fernando de Jesus,G.Jesus,4.0,1.0,0.0,0.0,
3.0,Gabriel,dos Santos Magalhães,Gabriel,2.0,1.0,0.51,0.05,
4.0,Kai,Havertz,Havertz,4.0,1.0,1.57,0.12,
5.0,Karl,Hein,Hein,1.0,1.0,0.0,0.0,Loaned to Real Valladolid
6.0,Jurriën,Timber,J.Timber,2.0,1.0,0.07,0.05,
7.0,Jorge Luiz,Frello Filho,Jorginho,3.0,1.0,0.0,0.0,
8.0,Jakub,Kiwior,Kiwior,2.0,1.0,0.0,0.0,
9.0,Gabriel,Martinelli Silva,Martinelli,3.0,1.0,0.25,0.74,
12.0,Ethan,Nwaneri,Nwaneri,3.0,1.0,0.0,0.0,
13.0,Martin,Ødegaard,Ødegaard,3.0,1.0,0.46,0.74,Ankle injury - 50% chance of playing
15.0,David,Raya Martin,Raya,1.0,1.0,0.0,0.01,
16.0,Declan,Rice,Rice,3.0,1.0,0.19,0.19,
17.0,Bukayo,Saka,Saka,3.0,1.0,1.4,1.02,Knock - 75% chance of playing
18.0,William,Saliba,Saliba,2.0,1.0,0.0,0.03,
20.0,Thomas,Partey,Thomas,3.0,1.0,0.16,0.21,
21.0,Kieran,Tierney,Tierney,2.0,1.0,0.0,0.0,Hamstring injury - Unknown return date
22.0,Tomiyasu,Takehiro,Tomiyasu,2.0,1.0,0.0,0.0,Knee injury - Unknown return date
23.0,Leandro,Trossard,Trossard,3.0,1.0,0.26,0.13,
24.0,Benjamin,White,White,2.0,1.0,0.11,0.09,
25.0,Oleksandr,Zinchenko,Zinchenko,2.0,1.0,0.0,0.04,Calf injury - 75% chance of playing
73.0,Norberto,Murara Neto,Neto,1.0,1.0,0.0,0.0,
186.0,Raheem,Sterling,Sterling,3.0,1.0,0.0,0.0,
578.0,Riccardo,Calafiori,Calafiori,2.0,1.0,0.0,0.0,Knock - 50% chance of playing
597.0,Myles,Lewis-Skelly,Lewis-Skelly,3.0,1.0,0.0,0.0,
633.0,Mikel,Merino,Merino,3.0,1.0,0.0,0.0,Shoulder injury - Unknown return date
638.0,Salah-Eddine,Oulad M'hand,Oulad M'hand,3.0,1.0,0.0,0.0,
639.0,Tommy,Setford,Setford,1.0,1.0,0.0,0.0,
657.0,Maldini,Kacurri,Kacurri,2.0,1.0,0.0,0.0,
658.0,Ayden,Heaven,Heaven,2.0,1.0,0.0,0.0,
659.0,Ismeal,Kabia,Kabia,3.0,1.0,0.0,0.0,
28.0,Leon,Bailey,Bailey,3.0,2.0,0.25,0.24,
29.0,Ross,Barkley,Barkley,3.0,2.0,0.05,0.1,
30.0,Enzo,Barrenechea,Barrenechea,3.0,2.0,0.0,0.0,Loaned to Valencia CF
31.0,Emiliano,Buendía Stati,Buendia,3.0,2.0,0.0,0.01,
32.0,Matty,Cash,Cash,2.0,2.0,0.0,0.01,Hamstring injury - Expected back 21 Sep
33.0,Leander,Dendoncker,Dendoncker,3.0,2.0,0.0,0.0,On loan to Anderlecht for the rest of the season
34.0,Moussa,Diaby,Diaby,3.0,2.0,0.0,0.0,Permanent transfer to Al Ittihad
35.0,Diego Carlos,Santos Silva,Diego Carlos,2.0,2.0,0.0,0.0,
36.0,Lucas,Digne,Digne,2.0,2.0,0.0,0.94,
37.0,Lewis,Dobbin,Dobbin,3.0,2.0,0.0,0.0,Permanent transfer to West Bromwich Albion
38.0,Jhon,Durán,Duran,4.0,2.0,1.04,0.14,
39.0,Joe,Gauci,Gauci,1.0,2.0,0.0,0.0,
40.0,Kortney,Hause,Hause,2.0,2.0,0.0,0.0,
41.0,Samuel,Iling-Junior,Iling Jr,3.0,2.0,0.0,0.0,Season long loan to Bologna
42.0,Boubacar,Kamara,Kamara,3.0,2.0,0.0,0.0,Knee injury - 50% chance of playing
43.0,Kaine,Kesler-Hayden,Kesler-Hayden,2.0,2.0,0.0,0.0,Has joined Preston North End for the rest of the season
44.0,Ezri,Konsa Ngoyo,Konsa,2.0,2.0,0.07,0.03,
45.0,Ian,Maatsen,Maatsen,2.0,2.0,0.01,0.53,
46.0,Filip,Marschall,Marschall,1.0,2.0,0.0,0.0,Has joined MK Dons for the rest of the season
47.0,Emiliano,Martínez Romero,Martinez,1.0,2.0,0.0,0.0,
48.0,John,McGinn,McGinn,3.0,2.0,0.48,0.35,
49.0,Tyrone,Mings,Mings,2.0,2.0,0.0,0.0,Knee injury - 50% chance of playing
50.0,Kosta,Nedeljković,Nedeljkovic,2.0,2.0,0.0,0.02,
51.0,Robin,Olsen,Olsen,1.0,2.0,0.0,0.0,
52.0,Pau,Torres,Pau,2.0,2.0,0.0,0.06,
53.0,Jacob,Ramsey,Ramsey,3.0,2.0,0.41,0.76,
54.0,Morgan,Rogers,Rogers,3.0,2.0,0.55,0.39,
55.0,Viljami,Sinisalo,Sinisalo,1.0,2.0,0.0,0.0,Permanent transfer to Celtic
56.0,Lino,da Cruz Sousa,Sousa,2.0,2.0,0.0,0.0,Loaned to  Bristol Rovers
57.0,Youri,Tielemans,Tielemans,3.0,2.0,0.18,1.0,
58.0,Ollie,Watkins,Watkins,4.0,2.0,2.76,0.08,
233.0,Amadou,Onana,Onana,3.0,2.0,1.11,0.08,
569.0,Jaden,Philogene,Jaden,3.0,2.0,0.07,0.01,
598.0,Lamare,Bogarde,Bogarde,2.0,2.0,0.0,0.08,
640.0,Sil,Swinkels,Swinkels,2.0,2.0,0.0,0.0,
641.0,Oliwier,Zych,Zych,1.0,2.0,0.0,0.0,
656.0,Kadan,Young,Young,3.0,2.0,0.0,0.0,
59.0,Max,Aarons,Aarons,2.0,3.0,0.0,0.0,
60.0,Tyler,Adams,Adams,3.0,3.0,0.0,0.0,Back injury - Unknown return date
61.0,Jaidon,Anthony,Anthony,3.0,3.0,0.0,0.0,Season long loan to Burnley
62.0,David,Brooks,Brooks,3.0,3.0,0.0,0.0,
63.0,Ryan,Christie,Christie,3.0,3.0,0.08,0.12,
64.0,Lewis,Cook,Cook,3.0,3.0,0.23,0.54,
65.0,Enes,Ünal,Enes Ünal,4.0,3.0,0.08,0.04,
66.0,Romain,Faivre,Faivre,3.0,3.0,0.0,0.0,Loaned to Brest
67.0,Hamed,Traorè,H.Traorè,3.0,3.0,0.0,0.0,Season long loan to A.J.Auxerre
68.0,James,Hill,Hill,2.0,3.0,0.0,0.0,
69.0,Daniel,Jebbison,Jebbison,4.0,3.0,0.0,0.0,Loaned to Watford
70.0,Milos,Kerkez,Kerkez,2.0,3.0,0.08,0.08,
71.0,Justin,Kluivert,Kluivert,3.0,3.0,0.43,0.44,
72.0,Chris,Mepham,Mepham,2.0,3.0,0.0,0.0,On loan to Sunderland for the season
74.0,Dango,Ouattara,O.Dango,3.0,3.0,0.48,0.79,Ankle injury - Unknown return date
75.0,Alex,Paulsen,Paulsen,1.0,3.0,0.0,0.0,Loaned to Auckland FC
76.0,Philip,Billing,Philip,3.0,3.0,0.0,0.09,
77.0,Alex,Scott,Scott,3.0,3.0,0.02,0.03,
78.0,Antoine,Semenyo,Semenyo,3.0,3.0,1.31,1.33,
79.0,Marcos,Senesi,Senesi,2.0,3.0,0.0,0.09,
80.0,Luis,Sinisterra,Sinisterra,3.0,3.0,0.65,0.31,
81.0,Adam,Smith,Smith,2.0,3.0,0.0,0.01,
